#separator:Comma
#html:false
#notetype:Basic
#deck:VLA Edge Intensive
#tags column:3
"What is the sim-to-real gap?","Policies trained in simulation fail in reality due to visual and physics mismatch.",worldmodels
"What is domain randomization?","Randomize textures, lighting, and physics in sim so the real world looks like just another variation.",worldmodels
"What is IoU?","Intersection area divided by union area of two boxes; thresholded to match detections.",fundamentals
"What is non-max suppression (NMS)?","Keep the highest-confidence box and drop overlapping duplicates above an IoU threshold.",fundamentals
"What is focal loss?","A loss that down-weights easy examples to focus training on hard ones — handles class imbalance in detection.",fundamentals
"Precision vs recall?","Precision = TP/(TP+FP); recall = TP/(TP+FN).",fundamentals
"What is mAP?","Mean over classes of average precision (area under the precision-recall curve), often averaged over IoU thresholds.",fundamentals
"How does the Adam optimizer work?","Adaptive per-parameter learning rates using running estimates of the gradient's first and second moments.",fundamentals
"What is an ANN index?","An approximate nearest-neighbor structure (HNSW, IVF) trading a little recall for large search speedups.",milvus
"What is HNSW?","A hierarchical navigable small-world graph enabling fast high-recall approximate nearest-neighbor search.",milvus
"Cosine vs L2 similarity metric?","Cosine compares direction/angle (good for normalized embeddings); L2 is Euclidean distance.",milvus
"Why use a vector DB in a VLA pipeline?","To retrieve similar past observations or demos to condition or warm-start the policy.",milvus
